nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
-0.51666081,0.129909322,-0.040133692,-0.456642449,0.0879298,-0.150298238,-0.559500277,-0.048386589,0.167709529,-0.467029721,0.311548501,-0.184676453,-0.48959735,0.079270914,0.225460991,-0.55406642,0.463377833,-0.010008944,-0.548121274,0.278061569,0.233128592,0.021210635,0.041114457,-0.079581156,-0.027186165,-0.042112343,0.080210067,0.059885982,0.424858749,-0.104619317,-0.058467619,0.297738671,0.133864462,0.399246007,0.370237827,0.017615333,0.349013299,0.303878725,0.260808408
-0.439103693,0.075872123,-0.051650271,-0.420443237,-0.063528948,-0.126287177,-0.49309808,-0.071897283,0.195784882,-0.41848278,0.155801877,-0.188260943,-0.416369528,0.165265903,0.187119499,-0.444123954,0.342931807,-0.062088311,-0.442489535,0.396023273,0.106391892,0.003356108,0.011361971,-0.071375199,-0.008766866,-0.012904651,0.07347624,0.019866809,0.38631162,-0.122241728,-0.018630503,0.333041131,0.073130742,0.385579288,0.353633791,0.006953201,0.382654011,0.381006062,0.197362736
0.416784436,0.036046401,-0.07115674,0.431970268,-0.062431604,0.122458294,0.469218463,-0.058143198,-0.100613058,0.502678096,0.199610636,0.157430366,0.432072967,0.191966534,-0.201147705,0.51499176,0.408156723,0.179584399,0.476633549,0.350155085,-0.182369947,0.004904594,0.004596659,0.114778817,0.001526865,-0.002484158,-0.110941529,-0.03127728,0.352487147,0.066789635,0.058104284,0.364009142,-0.149923459,-0.393823117,0.389569759,0.217377111,-0.365413576,0.343852788,0.001448515
0.392603368,0.035017073,-0.025521832,0.418556571,-0.052292209,0.176311448,0.476803422,-0.051133282,-0.068131022,0.473736942,0.181967184,0.210182756,0.42124787,0.19348079,-0.163990989,0.48502937,0.373727888,0.22673361,0.460683882,0.363422036,-0.140245289,-0.004635012,0.004958956,0.116852134,0.010688373,-0.002767156,-0.112823747,-0.053843364,0.359858215,0.078745998,0.023906332,0.388248712,-0.170886591,-0.399229228,0.380023837,0.215812922,-0.381732821,0.348569751,-0.039495692
-0.400933176,0.082890168,-0.103623673,-0.40412733,-0.03356158,-0.184631333,-0.5231601,-0.068294182,0.120898783,-0.42671141,0.224960998,-0.237104595,-0.480665654,0.168499321,0.138706163,-0.456908077,0.408037037,-0.107352436,-0.509829462,0.38259232,0.087832771,0.023855006,0.013199653,-0.074354991,-0.029675554,-0.015045654,0.076072216,0.054399066,0.39039585,-0.11175321,-0.059839029,0.321374238,0.126436263,0.418423951,0.328233778,0.022775229,0.343180507,0.292907119,0.260715872
0.379174471,0.07788825,-0.075830035,0.437675536,-0.003789071,0.115892991,0.481758147,-0.015807346,-0.094435088,0.464584023,0.230907544,0.158738628,0.43965292,0.190582469,-0.173036844,0.477109313,0.429364592,0.176146448,0.502012193,0.347811252,-0.144820154,0.014297089,0.009898119,0.112442769,-0.008707514,-0.006381243,-0.109157532,0.007942926,0.384856105,0.043516908,0.049193032,0.408088505,-0.179356962,-0.366703123,0.418444067,0.194328949,-0.328545332,0.331016004,0.014654836
0.352440178,0.05504002,-0.016426258,0.380744785,-0.039894011,0.179873228,0.459105253,-0.048706487,-0.040520236,0.44339174,0.224134043,0.205693871,0.395762831,0.177463219,-0.144845009,0.46875599,0.447441697,0.246075451,0.429167926,0.367787659,-0.14070648,-0.011417125,0.008002044,0.110915802,0.018333301,-0.005218954,-0.108031973,-0.051657427,0.410042197,0.065560922,0.050639249,0.404768288,-0.155461341,-0.400798976,0.448460937,0.141621739,-0.347101212,0.354383826,-0.019241184
-0.341291368,0.050596934,-0.12419489,-0.337021947,-0.095684201,-0.200469747,-0.431676894,-0.114453956,0.122157857,-0.337709039,0.130404159,-0.261297733,-0.356711328,0.139924511,0.123770602,-0.365747899,0.328681886,-0.145022243,-0.388669759,0.370712101,0.079823218,0.011980723,0.006841555,-0.068041056,-0.016687252,-0.009478791,0.069880188,0.079091184,0.364490598,-0.151889458,0.005563516,0.313857108,0.071312599,0.443326235,0.322853625,-0.048242848,0.396940351,0.354216546,0.19647406
0.383008242,0.061577205,-0.044364654,0.426329464,-0.030781128,0.153571442,0.483398229,-0.022186456,-0.081401639,0.483621985,0.193234205,0.204971299,0.436269313,0.212287486,-0.177642196,0.508849502,0.374673724,0.234798178,0.496326178,0.382524133,-0.158154368,0.004501304,0.003741799,0.116734944,0.00143631,-0.00079025,-0.112894163,-0.013129001,0.377399921,0.091779917,0.022971008,0.412136316,-0.190142214,-0.368329257,0.367459059,0.238150597,-0.38641271,0.368293911,-0.043387983
-0.40010491,0.089615904,-0.076259464,-0.42208907,-0.035652231,-0.172485009,-0.503754079,-0.062757865,0.176732108,-0.461114764,0.204069853,-0.237759605,-0.441114783,0.176431835,0.168886155,-0.51802516,0.380770683,-0.096652411,-0.490750939,0.387958407,0.08270184,0.012997991,0.013822963,-0.082071334,-0.017912898,-0.015395734,0.083831809,0.009981859,0.374476939,-0.13489525,-0.085973673,0.33703053,0.11932864,0.376694202,0.339984089,-0.009295495,0.31907928,0.336460501,0.25748992
